 Results for ntg,nwn,filling,cluster,ntot,ndim,inhgrid,chcrt0
       20000         800  0.849906061910793      16B         200           2
           0  0.244367952437218     
 ed,u,beta,iter,run,meas,tprime,tperp
  0.393699895375276        1.50000000000000        2.00000000000000     
           1       80000           1  0.000000000000000E+000
  0.000000000000000E+000
 nfocc=     <Sign>     skip
  0.424953030955396        1.00000000000000                4
 Vmax ,nuse, alpha, vblmax
         100           8  0.510000000000000                4
           mu**2            T*chi_ii(T)
  0.000000000000000E+000  0.000000000000000E+000
 iter            1  of            1
   configuration  v_tau,v_site, v_s  
   1.00000000000000               17
   7504.00000000000                7           1
   2593.00000000000               12          -1
   15794.0000000000               12          -1
   15325.0000000000               12          -1
   13447.0000000000                4          -1
   13213.0000000000                5          -1
   15427.0000000000                1           1
   6848.00000000000                2           1
   14630.0000000000               15          -1
   15460.0000000000                4          -1
   10596.0000000000                9           1
   11304.0000000000                7           1
   14695.0000000000                2           1
   17750.0000000000               14          -1
   6023.00000000000                9           1
   2276.00000000000               14          -1
   11715.0000000000                2           1
 n   ic  sigma(n,ic)  sigmapt(n,ic)  GcKfsc(n,ic)  iwn(n)   quadw(n)
  118    1  (-0.112573E+00,-0.147691E-02) (-0.112532E+00,-0.136100E-02) (-0.284082E-05,-0.268615E-02)    372.278729      1.000000
  119    1  (-0.112573E+00,-0.146455E-02) (-0.112532E+00,-0.134961E-02) (-0.279347E-05,-0.266368E-02)    375.420322      1.000000
  120    1  (-0.112573E+00,-0.145240E-02) (-0.112532E+00,-0.133841E-02) (-0.274730E-05,-0.264157E-02)    378.561915      1.000000
  121    1  (-0.112572E+00,-0.144045E-02) (-0.112532E+00,-0.132740E-02) (-0.270227E-05,-0.261983E-02)    381.703507      1.000000
  122    1  (-0.112572E+00,-0.142869E-02) (-0.112532E+00,-0.131656E-02) (-0.265833E-05,-0.259844E-02)    384.845100      1.000000
  123    1  (-0.112572E+00,-0.141712E-02) (-0.112532E+00,-0.130590E-02) (-0.261545E-05,-0.257740E-02)    387.986693      1.000000
  124    1  (-0.112572E+00,-0.140574E-02) (-0.112532E+00,-0.129541E-02) (-0.257361E-05,-0.255670E-02)    391.128285      1.000000
  125    1  (-0.112572E+00,-0.139454E-02) (-0.112532E+00,-0.128509E-02) (-0.253276E-05,-0.253633E-02)    394.269878      1.000000
  126    1  (-0.112572E+00,-0.138351E-02) (-0.112532E+00,-0.127493E-02) (-0.249287E-05,-0.251628E-02)    397.411471      1.000000
  127    1  (-0.112572E+00,-0.137266E-02) (-0.112532E+00,-0.126494E-02) (-0.245392E-05,-0.249654E-02)    400.553063      1.000000
  128    1  (-0.112572E+00,-0.136198E-02) (-0.112532E+00,-0.125509E-02) (-0.241588E-05,-0.247712E-02)    403.694656      1.000000
  129    1  (-0.112572E+00,-0.135146E-02) (-0.112531E+00,-0.124540E-02) (-0.237871E-05,-0.245799E-02)    406.836249      1.000000
  130    1  (-0.112572E+00,-0.134111E-02) (-0.112531E+00,-0.123586E-02) (-0.234239E-05,-0.243915E-02)    409.977841      1.000000
